Rank| H1B Visa Sponsor| Number of LCA  *| Average Salary| Job Title
108|It Trailblazers|2| $94,500|Application Developer
109|Meijer Great Lakes Partnership|2| $92,500|Application Developer
110|Southwest Business|2| $92,160|Application Developer
111|Three Sigma Software|2| $90,667|Application Developer
112|Tt Technologies|2| $90,000|Application Developer
113|Capital One, National Association|2| $88,125|Application Developer
114|Tesla Motors|2| $88,000|Application Developer
115|Environmental Systems Research Institute (esri)|2| $86,135|Application Developer
116|Exsilio Consulting|2| $86,000|Application Developer
117|C2s Technologies|2| $84,739|Application Developer
118|Independent Health Association|2| $81,093|Application Developer
119|Veritis Group|2| $81,050|Application Developer
120|Code Ace Solutions|2| $80,900|Application Developer
121|Virtue Group|2| $80,000|Application Developer
122|First Data Merchant Services|2| $78,500|Application Developer
122|Medixsoft|2| $78,500|Application Developer
124|Cyberthink|2| $78,400|Application Developer
125|Exa Ag America|2| $78,000|Application Developer
126|American Consulting Solutions|2| $77,500|Application Developer
127|Unicon International|2| $76,222|Application Developer
128|Ventois|2| $76,000|Application Developer
129|Revealit Solutions|2| $75,000|Application Developer
129|Sci It Solutions Pvt.|2| $75,000|Application Developer
129|Zetta Data Systems|2| $75,000|Application Developer
129|Talentreef|2| $75,000|Application Developer
133|Hcl Global Systems|2| $73,185|Application Developer
134|Adroix|2| $72,500|Application Developer
134|Libertycom|2| $72,500|Application Developer
136|Iq Spectra|2| $72,000|Application Developer
137|Canopy One Solutions|2| $71,750|Application Developer
138|Delasoft|2| $71,718|Application Developer
139|Nmsi|2| $71,479|Application Developer
140|Cr Technologies|2| $71,000|Application Developer
141|3i Infotech|2| $70,000|Application Developer
142|Aetna Life Insurance Company|2| $69,839|Application Developer
143|Ps Technology|2| $69,210|Application Developer
144|Collaborate Solutions|2| $69,160|Application Developer
145|Sarla Technologies Usa (f/k/a Synapse Systems)|2| $68,760|Application Developer
146|Eskribe|2| $66,997|Application Developer
147|Health Solutions Plus|2| $66,611|Application Developer
148|Strategic Staffing Solutions, L.C.|2| $66,560|Application Developer
149|Advanced Technology Group Usa|2| $65,900|Application Developer
150|Jupiter Software Solutions|2| $65,500|Application Developer
151|Lead It|2| $65,021|Application Developer
152|Archents|2| $65,000|Application Developer
153|Arke Tech|2| $64,000|Application Developer
154|Excelgens|2| $63,000|Application Developer
155|Unicorn Technologies|2| $62,500|Application Developer
156|Softcorp International|2| $62,063|Application Developer
157|Business Intelli Solutions|2| $60,986|Application Developer
158|Ascedia|2| $60,091|Application Developer
159|Load Delivered Logistics|2| $60,000|Application Developer
159|Pollux Consultancy Services|2| $60,000|Application Developer
159|Varnar|2| $60,000|Application Developer
162|Keytroller|2| $59,093|Application Developer
163|Aon Service|2| $58,282|Application Developer
164|Marketlink|2| $54,873|Application Developer
165|Iten Consulting|2| $54,500|Application Developer
166|Cantor Fitzgerald|1| $170,000|Application Developer
167|Oracle America|1| $159,221|Application Developer
168|Princeton Information,|1| $158,018|Application Developer
169|Texas Instruments|1| $146,500|Application Developer
170|Intelliswift Software|1| $135,000|Application Developer
170|Valiant Solutions|1| $135,000|Application Developer
172|Galaxe.Solutions|1| $130,666|Application Developer
173|Lcg Consulting|1| $121,758|Application Developer
174|Techniligent|1| $120,349|Application Developer
175|Guy Carpenter & Company|1| $120,000|Application Developer
176|Trustedid|1| $119,978|Application Developer
177|Qsc Audio Products|1| $115,000|Application Developer
178|Saks Fifth Avenue|1| $115,000|Application Developer
179|Emphasis Software Development|1| $112,000|Application Developer
180|Csaa Insurance Services|1| $110,419|Application Developer
181|Osi Consulting|1| $110,000|Application Developer
181|Abacus Technical Services|1| $110,000|Application Developer
181|Parkway|1| $110,000|Application Developer
181|East West Bank|1| $110,000|Application Developer
185|Hcp Management Operations|1| $109,250|Application Developer
186|Fisher Asset Management|1| $107,853|Application Developer
186|Fisher Investments|1| $107,853|Application Developer
188|Sona Networks|1| $107,432|Application Developer
189|Saks Direct|1| $106,283|Application Developer
190|Pdr Equity|1| $106,000|Application Developer
191|Domino Technologies|1| $105,000|Application Developer
192|Barclays Services|1| $104,172|Application Developer
193|Sirius Xm Radio|1| $103,052|Application Developer
194|Examination Management Services|1| $103,000|Application Developer
195|Sparefoot|1| $102,549|Application Developer
196|Advancedmd|1| $100,000|Application Developer
196|Enso Financial Management|1| $100,000|Application Developer
196|Allegis Group|1| $100,000|Application Developer
196|Nous Infosystems Pvt.|1| $100,000|Application Developer
196|Implementation Technologies Consulting|1| $100,000|Application Developer
201|Nextgen Technologies|1| $99,000|Application Developer
202|Coriell Institute For Medical Research|1| $98,921|Application Developer
203|Yourcause|1| $98,760|Application Developer
204|Guess?|1| $96,000|Application Developer
205|U.S. Bank National Association|1| $95,519|Application Developer
206|Oberon It|1| $95,000|Application Developer
206|Lewis-Goetz And Company|1| $95,000|Application Developer
206|Itdr|1| $95,000|Application Developer
206|Florida Family Insurance Company|1| $95,000|Application Developer
206|O2 Technologies|1| $95,000|Application Developer
211|Talx Ucm Services|1| $94,500|Application Developer
211|Vanderbilt University|1| $94,500|Application Developer
213|Bank Of The West|1| $94,050|Application Developer
214|Collabera,|1| $93,600|Application Developer
215|Blue Software|1| $93,000|Application Developer
215|Cdw Technologies|1| $93,000|Application Developer
217|National Committee For Quality Assurance|1| $92,703|Application Developer
218|Highbridge Capital Management|1| $92,500|Application Developer
219|American Psychological Association|1| $92,100|Application Developer
220|Klntek|1| $92,061|Application Developer
221|Compusoft Integrated Solutions|1| $91,500|Application Developer
221|Aci Infotech|1| $91,500|Application Developer
223|Innerworkings|1| $91,494|Application Developer
224|Lancesys|1| $90,000|Application Developer
224|Zt Group International|1| $90,000|Application Developer
1|Marlabs|477| $70,528|Programmer/Analyst
2|Cgi Technologies And Solutions|76| $84,995|Programmer/Analyst
3|Techno-Comp|76| $82,907|Programmer/Analyst
4|Triesten Technologies|72| $61,667|Programmer/Analyst
5|Synerzy Software Solutions|64| $60,810|Programmer/Analyst
6|Vector Systems|63| $60,381|Programmer/Analyst
7|Sunray Enterprise|63| $60,378|Programmer/Analyst
8|Genome International|59| $61,356|Programmer/Analyst
9|Yash & Lujan Consulting|59| $60,016|Programmer/Analyst
10|Polar It Services|45| $92,338|Programmer/Analyst
11|Etelligent Group|44| $58,053|Programmer/Analyst
12|Identity And Access Solutions|42| $58,053|Programmer/Analyst
13|Susash Consulting Services|37| $59,041|Programmer/Analyst
14|Atlas Systems|27| $72,148|Programmer/Analyst
15|Marlabs Consulting|26| $71,965|Programmer/Analyst
16|Maxima Consulting|22| $60,864|Programmer/Analyst
17|Url Systems|21| $69,429|Programmer/Analyst
18|Alpha Business Consortium|21| $60,310|Programmer/Analyst
19|Apps Consultants|21| $52,619|Programmer/Analyst
20|Ibrain Technologies|19| $73,002|Programmer/Analyst
21|Logic Soft|18| $65,901|Programmer/Analyst
22|Globalclick|18| $65,000|Programmer/Analyst
23|Rlgh|18| $60,250|Programmer/Analyst
24|Bened Software Services|16| $60,320|Programmer/Analyst
25|Datamatics Consultants|15| $80,882|Programmer/Analyst
26|Lazard Freres|12| $82,917|Programmer/Analyst
27|Compass Lexecon|12| $68,287|Programmer/Analyst
28|Db Services Nj|12| $50,072|Programmer/Analyst
29|Deloitte Consulting|11| $77,498|Programmer/Analyst
30|Icf Resources|11| $67,761|Programmer/Analyst
31|California Creative Solutions|11| $61,409|Programmer/Analyst
32|Morgan Stanley Fund Services|10| $86,000|Programmer/Analyst
33|Bnp Paribas Usa|10| $85,900|Programmer/Analyst
34|Bank Of America|10| $85,000|Programmer/Analyst
35|Highradius|10| $83,550|Programmer/Analyst
36|Morgan Stanley Smith Barney|10| $74,800|Programmer/Analyst
37|American Airlines|9| $78,851|Programmer/Analyst
38|Latentview Analytics|9| $77,000|Programmer/Analyst
39|Altman Vilandrie & Company|9| $71,111|Programmer/Analyst
40|Benefitalign|9| $55,000|Programmer/Analyst
41|Balyasny Asset Management, L.P.|8| $146,249|Programmer/Analyst
42|Vnc Communications D/B/A Performics|8| $67,500|Programmer/Analyst
43|Kantar Retail America|8| $55,000|Programmer/Analyst
44|Antuit|7| $95,000|Programmer/Analyst
45|D. E. Shaw, L.P.|6| $112,333|Programmer/Analyst
46|Moelis & Company Group|6| $86,667|Programmer/Analyst
47|Hsbc Bank Usa|6| $85,000|Programmer/Analyst
48|Mckinsey & Company United States|6| $84,427|Programmer/Analyst
49|National Economic Research Associates|6| $82,542|Programmer/Analyst
50|Baker And Mckenzie Consulting|6| $82,000|Programmer/Analyst
51|Morgan Stanley Capital Group|6| $78,333|Programmer/Analyst
52|Sg Americas Securities|6| $76,667|Programmer/Analyst
53|Exeter Pharma Consultancy|6| $66,874|Programmer/Analyst
54|Promontory Financial Group|5| $81,150|Programmer/Analyst
55|Econ One Research|5| $65,438|Programmer/Analyst
56|Nyse Market (De)|5| $63,800|Programmer/Analyst
57|Caspian Capital|4| $175,000|Programmer/Analyst
58|Evercore Partners Services East|4| $97,500|Programmer/Analyst
59|Innosight|4| $90,813|Programmer/Analyst
60|Kohlberg Kravis Roberts L.P.|4| $88,750|Programmer/Analyst
61|Credit Suisse Asset Management|4| $87,500|Programmer/Analyst
62|Msx Americas|4| $84,726|Programmer/Analyst
63|Akqa|4| $76,370|Programmer/Analyst
64|Acxiom|4| $69,944|Programmer/Analyst
65|Cra International|4| $69,766|Programmer/Analyst
66|Global Atlantic Financial Company|4| $69,425|Programmer/Analyst
67|Xaxis|4| $60,500|Programmer/Analyst
68|Golman, Sachs|4| $51,700|Programmer/Analyst
69|Soros Fund Management|3| $216,667|Programmer/Analyst
70|Tiger Management|3| $127,795|Programmer/Analyst
71|Pine River Capital Management|3| $117,349|Programmer/Analyst
72|Moody's Investors Service|3| $117,173|Programmer/Analyst
73|Western Digital Technologies|3| $100,374|Programmer/Analyst
74|Rule 14|3| $94,554|Programmer/Analyst
75|Firstkey Mortgage|3| $90,833|Programmer/Analyst
76|Neuberger Berman Group|3| $81,833|Programmer/Analyst
77|Pacific Global Advisors|3| $80,000|Programmer/Analyst
78|Fitch Ratings|3| $75,000|Programmer/Analyst
79|Petroleum Industry Research Associates|3| $74,358|Programmer/Analyst
80|Meritek|3| $72,800|Programmer/Analyst
81|National Grid Usa Service Company|3| $72,000|Programmer/Analyst
82|Pa Consulting Group|3| $68,750|Programmer/Analyst
83|Onprem Solution Partners|3| $65,000|Programmer/Analyst
84|Icf|3| $60,930|Programmer/Analyst
85|Kantar Retail|3| $59,280|Programmer/Analyst
86|Deawm Distributors|3| $56,667|Programmer/Analyst
87|Sedulo Group|3| $48,655|Programmer/Analyst
88|Sonida Group|3| $47,847|Programmer/Analyst
89|Bluemountain Capital Management|2| $217,500|Programmer/Analyst
90|Miura Global Management|2| $207,250|Programmer/Analyst
91|Elliott Management|2| $137,500|Programmer/Analyst
92|Paloma Partners Management Company|2| $125,000|Programmer/Analyst
93|The Raine Group|2| $117,500|Programmer/Analyst
94|1010data Services|2| $110,000|Programmer/Analyst
94|Google|2| $110,000|Programmer/Analyst
96|Signpost Capital Advisors|2| $95,250|Programmer/Analyst
97|Qatalyst Partners|2| $95,000|Programmer/Analyst
98|Hutchin Hill Capital|2| $90,000|Programmer/Analyst
99|Motivepower|2| $85,800|Programmer/Analyst
100|Greenhill|2| $85,000|Programmer/Analyst
103|The Npd Group|2| $83,349|Programmer/Analyst
104|Allant Group|2| $83,333|Programmer/Analyst
105|Nomura Securities International|2| $81,250|Programmer/Analyst
106|Medallia|2| $79,467|Programmer/Analyst
107|Btmu Leasing & Finance|2| $78,750|Programmer/Analyst
108|Oak Hill Advisors, L.P.|2| $77,500|Programmer/Analyst
109|84.51|2| $77,250|Programmer/Analyst
110|Txu Energy Retail Company|2| $76,600|Programmer/Analyst
111|Blue Labs|2| $76,200|Programmer/Analyst
112|Hentschel & Company|2| $75,094|Programmer/Analyst
113|Atlas Advisors|2| $75,000|Programmer/Analyst
113|Communications Media Advisors|2| $75,000|Programmer/Analyst
113|Sarkit|2| $75,000|Programmer/Analyst
113|Brown Brothers Harriman|2| $75,000|Programmer/Analyst
117|Rbs Securities|2| $73,750|Programmer/Analyst
118|Colony Advisors|2| $73,500|Programmer/Analyst
119|Sunrise Brokers|2| $72,594|Programmer/Analyst
120|Slalom|2| $72,500|Programmer/Analyst
121|Aon Consulting|2| $71,600|Programmer/Analyst
122|Manhattan Associates|2| $71,000|Programmer/Analyst
123|Maguire Associates|2| $70,000|Programmer/Analyst
123|Banco Espirito Santo De Investimento, S.A.|2| $70,000|Programmer/Analyst
123|Capm|2| $70,000|Programmer/Analyst
128|Resource Recycling Systems|2| $69,000|Programmer/Analyst
129|Goldman Sachs Realty Management, L.P.|2| $68,300|Programmer/Analyst
130|Mufg Union Bank|2| $68,250|Programmer/Analyst
131|Fx Direct Dealer|2| $68,000|Programmer/Analyst
131|Hr&A Advisors|2| $68,000|Programmer/Analyst
133|Cg42|2| $67,000|Programmer/Analyst
134|Cicc Us Securities|2| $66,000|Programmer/Analyst
135|Hap Investments|2| $65,187|Programmer/Analyst
136|Health Dialog Services|2| $65,000|Programmer/Analyst
136|Alvarez & Marsal Executive Compensation & Benefits|2| $65,000|Programmer/Analyst
136|Onperm Solution Partners|2| $65,000|Programmer/Analyst
139|Ess Analysis|2| $64,500|Programmer/Analyst
140|Towers Watson Delware|2| $63,200|Programmer/Analyst
141|Transunion|2| $62,727|Programmer/Analyst
142|Great Lakes Behavioral Research Institute|2| $62,000|Programmer/Analyst
143|Fcb Worldwide|2| $61,500|Programmer/Analyst
144|Hill Holliday|2| $61,250|Programmer/Analyst
145|Big Spaceship|2| $60,000|Programmer/Analyst
145|Mortgage Industry Advisory|2| $60,000|Programmer/Analyst
145|Dumac|2| $60,000|Programmer/Analyst
145|Competition Dynamics|2| $60,000|Programmer/Analyst
145|Optimedia International Us|2| $60,000|Programmer/Analyst
145|Topright|2| $60,000|Programmer/Analyst
151|Wilshire Associates|2| $58,750|Programmer/Analyst
152|Spring 11|2| $58,594|Programmer/Analyst
153|The Advisory Board Company|2| $58,500|Programmer/Analyst
154|Citco Fund Services (Usa)|2| $57,500|Programmer/Analyst
155|Kroll Associates|2| $56,056|Programmer/Analyst
156|Mariner Investment Group|2| $55,000|Programmer/Analyst
156|Starcom Worldwide|2| $55,000|Programmer/Analyst
158|Hi Q Trading Service|2| $53,600|Programmer/Analyst
159|Solid Rock Asset Management|2| $52,500|Programmer/Analyst
160|Dalberg Consulting Us|2| $52,015|Programmer/Analyst
161|Procurement Advisors|2| $50,200|Programmer/Analyst
162|Towers Watson Delaware|2| $45,500|Programmer/Analyst
163|Northeast Construction|2| $45,000|Programmer/Analyst
164|New Mexico State University|2| $38,792|Programmer/Analyst
165|Two Creeks Capital Management|1| $250,000|Programmer/Analyst
165|Zbi|1| $250,000|Programmer/Analyst
167|Finepoint Capital|1| $200,000|Programmer/Analyst
167|Arrow Ridge Capital|1| $200,000|Programmer/Analyst
167|Ardmore Global Investors|1| $200,000|Programmer/Analyst
167|Tpg Global|1| $200,000|Programmer/Analyst
171|Redwood Capital Management|1| $175,000|Programmer/Analyst
172|Hudson Bay Capital Management|1| $162,500|Programmer/Analyst
173|Richmond Hill Investments|1| $150,000|Programmer/Analyst
173|Atlantic Investment Management|1| $150,000|Programmer/Analyst
173|Fox Point Capital Management|1| $150,000|Programmer/Analyst
178|Linkedin|1| $144,254|Programmer/Analyst
179|Sourcecorp Management|1| $141,499|Programmer/Analyst
180|Eagle Rock Advisors|1| $140,000|Programmer/Analyst
180|First Pacific Advisors|1| $140,000|Programmer/Analyst
182|Income Research & Management|1| $127,582|Programmer/Analyst
183|Western Asset Management|1| $125,376|Programmer/Analyst
184|Tudor Investment|1| $125,000|Programmer/Analyst
185|Westbridge Capital Us Advisors|1| $121,000|Programmer/Analyst
186|Brown Investment Advisory & Trust|1| $120,000|Programmer/Analyst
186|Jhl Capital Group|1| $120,000|Programmer/Analyst
188|Panagora Asset Management|1| $115,500|Programmer/Analyst
189|Rs Investment Management|1| $115,000|Programmer/Analyst
190|Palladium Capital Management Iv|1| $112,500|Programmer/Analyst
191|Shearlink Capital|1| $109,820|Programmer/Analyst
192|Fig|1| $109,367|Programmer/Analyst
193|Dyal Partners|1| $105,000|Programmer/Analyst
193|Totem Point Management|1| $105,000|Programmer/Analyst
195|Deimos Asset Management|1| $103,000|Programmer/Analyst
196|Jpmorgan Chase|1| $102,500|Programmer/Analyst
197|Fidelity Brokerage Services|1| $102,336|Programmer/Analyst
198|Vista Equity Partners Management|1| $100,500|Programmer/Analyst
199|Abraaj North America|1| $100,000|Programmer/Analyst
199|Mercury Capital Advisors Group Gp|1| $100,000|Programmer/Analyst
210|Pioneer Consulting Services|1| $98,000|Programmer/Analyst
211|Cronus Technology|1| $97,200|Programmer/Analyst
212|Hooklogic|1| $95,000|Programmer/Analyst
212|Ops Rules Partners|1| $95,000|Programmer/Analyst
212|J. Aron & Company|1| $95,000|Programmer/Analyst
212|Nasuni|1| $95,000|Programmer/Analyst
212|Greentech Capital Advisors|1| $95,000|Programmer/Analyst
217|Perella Weinberg Partners Group|1| $94,333|Programmer/Analyst
218|Sierra Ventures Management Ii|1| $93,000|Programmer/Analyst
219|Vitech Systems Group|1| $92,000|Programmer/Analyst
220|Weiss Asset Management|1| $91,000|Programmer/Analyst
221|Athyrium Capital Management|1| $90,000|Programmer/Analyst
221|Avendus Capital|1| $90,000|Programmer/Analyst
221|Martin Capital Management|1| $90,000|Programmer/Analyst
221|Techland|1| $90,000|Programmer/Analyst
221|Tesla Motors|1| $90,000|Programmer/Analyst
1|Astir It Solutions|75| $63,521|Qa Analyst
2|Niche Software Solutions|73| $62,425|Qa Analyst
3|Gss Infotech Ct|59| $63,025|Qa Analyst
4|Sdlc Management|57| $64,690|Qa Analyst
5|Euclid Technologies|31| $59,791|Qa Analyst
6|Oncorre|28| $64,221|Qa Analyst
7|Acadia Technologies|26| $66,273|Qa Analyst
8|Cigniti|24| $72,166|Qa Analyst
9|Igate Technologies|23| $69,818|Qa Analyst
10|Quality Matrix|22| $69,338|Qa Analyst
11|Sai Technologies|19| $63,327|Qa Analyst
12|Erp Analysts|18| $62,002|Qa Analyst
13|Canvas Infotech|18| $60,805|Qa Analyst
14|Accenz|18| $60,297|Qa Analyst
15|Anjaneyap|16| $64,983|Qa Analyst
16|First Tek|16| $63,796|Qa Analyst
17|Katalyst Technologies|15| $75,000|Qa Analyst
18|Cybage Software|13| $71,831|Qa Analyst
19|New York Technology Partners|13| $70,000|Qa Analyst
20|Dw Matrix|13| $63,447|Qa Analyst
21|Verans Business Solutions|13| $59,046|Qa Analyst
22|Makeurcareer|12| $64,833|Qa Analyst
23|Orpine|12| $61,496|Qa Analyst
24|Triesten Technologies|12| $60,833|Qa Analyst
25|Masterex Technologies|12| $60,000|Qa Analyst
26|Texara Solutions|11| $65,304|Qa Analyst
27|Dotcom Team|10| $88,120|Qa Analyst
28|Vings Technologies|10| $70,000|Qa Analyst
29|Kee Technologies Group|10| $62,039|Qa Analyst
30|Logan Data|10| $59,570|Qa Analyst
31|Ciber|9| $79,666|Qa Analyst
32|Next Level Business Services|9| $74,444|Qa Analyst
33|Xceltech|9| $70,489|Qa Analyst
34|Ramp Technology Group|9| $65,556|Qa Analyst
35|Integrated Technology Services|9| $65,000|Qa Analyst
36|Qverge LLC|9| $62,549|Qa Analyst
37|Microexcel|9| $60,000|Qa Analyst
37|C-Vision|9| $60,000|Qa Analyst
39|Advancesoft|8| $75,875|Qa Analyst
40|Abal Technologies|8| $68,749|Qa Analyst
41|Y-Axis|8| $67,665|Qa Analyst
42|Shinewell Technologies|8| $63,320|Qa Analyst
43|Maven Companies|8| $62,625|Qa Analyst
44|Suntechpros|8| $61,875|Qa Analyst
45|Objects On Net|8| $59,375|Qa Analyst
46|Promantis|8| $55,578|Qa Analyst
47|Globalpoint|8| $55,460|Qa Analyst
48|Progress Solutions|8| $54,982|Qa Analyst
49|IBM|7| $72,179|Qa Analyst
50|Kellton Tech|7| $67,284|Qa Analyst
51|Codesmart|7| $66,286|Qa Analyst
52|Sree Infotech|7| $66,057|Qa Analyst
53|Icon It Group|7| $65,714|Qa Analyst
54|Blueline Software Services|7| $64,000|Qa Analyst
55|Ab Star Group|7| $63,187|Qa Analyst
56|Collabera,|7| $62,320|Qa Analyst
57|Friendly Consultants|7| $60,786|Qa Analyst
58|Arvytech|7| $58,857|Qa Analyst
59|Nmk Global|7| $58,088|Qa Analyst
60|Indus Group|6| $76,967|Qa Analyst
61|Inbiz Concepts|6| $68,751|Qa Analyst
62|Avco Consulting|6| $65,832|Qa Analyst
63|Ebusiness Solutions|6| $65,000|Qa Analyst
64|Vensoft|6| $64,938|Qa Analyst
65|Tsq Systems|6| $63,655|Qa Analyst
66|Amensys|6| $62,500|Qa Analyst
67|Rsm Technology Solutions|6| $61,333|Qa Analyst
67|Human Resource And Knowledge|6| $61,333|Qa Analyst
69|Xpert Technologies|6| $60,000|Qa Analyst
70|Corematiq|6| $54,000|Qa Analyst
71|Populus Group|5| $96,096|Qa Analyst
72|Nam Technologies|5| $80,000|Qa Analyst
73|Micronet Solutions|5| $79,280|Qa Analyst
74|Verotech Solutions|5| $77,376|Qa Analyst
75|3qi Labs|5| $74,000|Qa Analyst
76|Data S Solutions|5| $73,800|Qa Analyst
77|Info Services|5| $72,928|Qa Analyst
78|Mnk Infotech|5| $72,800|Qa Analyst
79|Theme Soft|5| $70,616|Qa Analyst
80|Eish Technologies|5| $70,200|Qa Analyst
81|Gallop Solutions|5| $69,053|Qa Analyst
82|Gssr|5| $66,000|Qa Analyst
83|Collaborate Solutions|5| $65,774|Qa Analyst
84|Srk Group,|5| $64,000|Qa Analyst
85|Stiaos Technologies|5| $63,000|Qa Analyst
86|Softhq|5| $60,200|Qa Analyst
87|Key Business Solutions|5| $60,000|Qa Analyst
87|Excela Solutions|5| $60,000|Qa Analyst
89|Embtel|5| $58,760|Qa Analyst
90|It Cats|5| $57,357|Qa Analyst
91|Polakams|5| $57,000|Qa Analyst
92|System Soft Technologies|4| $93,125|Qa Analyst
93|Compusoft Integrated Solutions|4| $86,763|Qa Analyst
94|Everest Technologies|4| $83,500|Qa Analyst
95|Agile1tech|4| $76,960|Qa Analyst
96|Sarian Solutions|4| $74,750|Qa Analyst
97|Thoughtwave Software And Solutions|4| $74,250|Qa Analyst
98|Eminence It Solutions|4| $71,792|Qa Analyst
99|Maganti It Resources|4| $70,460|Qa Analyst
100|Hrtronix|4| $70,000|Qa Analyst
102|Vedicsoft Solutions|4| $69,275|Qa Analyst
103|Xoriant Corporation|4| $68,250|Qa Analyst
104|International Technologies Pro|4| $67,206|Qa Analyst
105|Tnp Systems|4| $65,060|Qa Analyst
106|Privity Solutions|4| $65,000|Qa Analyst
107|G3 Infotek|4| $64,750|Qa Analyst
108|Ezenius|4| $64,000|Qa Analyst
109|Spruce Technology|4| $63,765|Qa Analyst
110|Bioinfo Systems|4| $63,440|Qa Analyst
111|Pyramid Technology Solutions|4| $62,555|Qa Analyst
112|P3 Geeks|4| $61,500|Qa Analyst
113|Thirthasoft,|4| $61,000|Qa Analyst
114|Astir Technologies|4| $60,750|Qa Analyst
115|Invensys Pro|4| $60,000|Qa Analyst
115|Procal Technologies|4| $60,000|Qa Analyst
117|Vividiansoft|4| $58,209|Qa Analyst
118|Smart It Frame|4| $54,000|Qa Analyst
119|Pioneer Consulting Services|4| $53,000|Qa Analyst
120|Mojid Solutions LLC|4| $52,000|Qa Analyst
121|Brightpier Tech|4| $51,053|Qa Analyst
122|Thought Byte|4| $50,752|Qa Analyst
123|Randstad Technologies|3| $91,737|Qa Analyst
124|Srs Consulting|3| $91,667|Qa Analyst
125|Accion Labs Us|3| $85,667|Qa Analyst
126|Synechron|3| $83,000|Qa Analyst
127|Hiral  Technologies|3| $82,833|Qa Analyst
128|Aspire Systems|3| $81,913|Qa Analyst
129|O2 Technologies|3| $81,667|Qa Analyst
130|Intelliswift Software|3| $81,000|Qa Analyst
131|Amicus Systems|3| $79,333|Qa Analyst
132|Medhost Services|3| $78,285|Qa Analyst
133|Valuelabs|3| $76,667|Qa Analyst
134|Ad3i Systems|3| $76,000|Qa Analyst
135|Idhasoft|3| $75,067|Qa Analyst
136|Intersoft Data Labs|3| $73,333|Qa Analyst
137|Delasoft|3| $72,573|Qa Analyst
138|Digital Software|3| $72,000|Qa Analyst
139|Strategic Resources International|3| $71,000|Qa Analyst
140|Fynbosys|3| $70,667|Qa Analyst
141|Ez2 Technologies|3| $70,189|Qa Analyst
142|Real World Technologies|3| $69,652|Qa Analyst
143|Techligent Systems|3| $69,333|Qa Analyst
144|Nh Software Solutions|3| $68,667|Qa Analyst
145|Sapere|3| $67,833|Qa Analyst
146|Uniwaysoft|3| $66,000|Qa Analyst
147|Priserve Consulting|3| $65,333|Qa Analyst
148|Najsoft|3| $65,000|Qa Analyst
148|Us It Solutions|3| $65,000|Qa Analyst
148|Applied Computer Techniques|3| $65,000|Qa Analyst
152|Sriven Technologies|3| $64,038|Qa Analyst
153|Vaarg|3| $64,000|Qa Analyst
153|Apps Solutions|3| $64,000|Qa Analyst
155|Genisys Technologies|3| $63,333|Qa Analyst
155|Lucid Technologies|3| $63,333|Qa Analyst
157|Aptek Solutions|3| $62,901|Qa Analyst
158|Kronsys|3| $62,540|Qa Analyst
159|Tekwissen|3| $62,487|Qa Analyst
160|Chocho123|3| $62,333|Qa Analyst
161|United Software Group|3| $61,667|Qa Analyst
162|Technumen|3| $60,629|Qa Analyst
163|Sage It|3| $60,532|Qa Analyst
164|Sysintelli|3| $60,333|Qa Analyst
165|Teknosys|3| $60,000|Qa Analyst
165|Suswee Infotech|3| $60,000|Qa Analyst
165|Expandtree|3| $60,000|Qa Analyst
168|Infomerica|3| $59,031|Qa Analyst
169|Fourth Technologies|2| $91,250|Qa Analyst
170|National Medical Care, A Fresenius Medical Care Company|2| $86,000|Qa Analyst
171|Sally Beauty Supply|2| $85,965|Qa Analyst
172|Strategic It Alignment Group|2| $85,000|Qa Analyst
173|Adecco Technical|2| $84,729|Qa Analyst
174|Ready Analytics|2| $83,500|Qa Analyst
175|Openlink Financial|2| $83,043|Qa Analyst
176|Trinity Consulting|2| $83,015|Qa Analyst
177|S2 It Group|2| $80,000|Qa Analyst
178|World Class Workforce|2| $79,404|Qa Analyst
179|U.S.Interactive ( Delaware)|2| $79,030|Qa Analyst
180|Medhok|2| $79,000|Qa Analyst
181|Isr Info Way|2| $78,258|Qa Analyst
182|Dfuse Technologies|2| $77,938|Qa Analyst
183|Concepts Information Technology|2| $76,960|Qa Analyst
184|Ricefw Technologies|2| $76,763|Qa Analyst
185|Agile Consulting|2| $76,380|Qa Analyst
186|Intercontinental Exchange Holdings|2| $76,250|Qa Analyst
187|Relic Solutions LLC|2| $76,000|Qa Analyst
188|Agama Solutions|2| $75,566|Qa Analyst
189|Verisk Health|2| $75,000|Qa Analyst
189|IT Force|2| $75,000|Qa Analyst
191|Zgage|2| $74,500|Qa Analyst
192|Netvision Resources|2| $74,000|Qa Analyst
192|I-Link Solutions|2| $74,000|Qa Analyst
194|Orion Systems Integrators|2| $73,250|Qa Analyst
195|Iconsoft|2| $72,500|Qa Analyst
196|Prudent Technologies & Consulting|2| $71,939|Qa Analyst
197|Meridian Technologies|2| $71,760|Qa Analyst
198|It America|2| $70,770|Qa Analyst
199|Int Technologies|2| $70,470|Qa Analyst
200|Sahi Softtech|2| $70,250|Qa Analyst
201|Abab Solutions|2| $70,000|Qa Analyst
201|Covetit|2| $70,000|Qa Analyst
201|Sureit Solutions|2| $70,000|Qa Analyst
201|I.T Software Solutions|2| $70,000|Qa Analyst
201|Levanture|2| $70,000|Qa Analyst
206|Bytefield|2| $68,931|Qa Analyst
207|Consult America|2| $68,500|Qa Analyst
